scholar_no,student_name,dob_figure,dob_words,gender,father_name,f_qualification,f_occupation,mother_name,m_qualification,m_occupation,address,mobile,sssm_id,family_id,aadhar_no,caste,category,religion,bank_name,account_no,ifsc_code,photo_path,total_standard_fees,discount_amount,final_payable_fees,payment_mode,student_class,section,remaining_balance
C507,"Urmila Matondkar",2014-07-10,"Ten July 14",Female,Shivinder,B.A,Job,Soni,B.A,HW,Indore,9000000147,8007,F147,888800008107,Gen,GEN,Hindu,SBI,80007,SBIN01,img.jpg,22000.00,0.00,22000.00,Online,5th,B,22000.00
C508,"Vivek Oberoi",2014-08-15,"Fifteen Aug 14",Male,Suresh,B.A,Biz,Prakash,B.A,HW,Indore,9000000148,8008,F148,888800008108,Gen,GEN,Hindu,BOB,80008,BARB01,img.jpg,22000.00,0.00,22000.00,Cash,5th,B,22000.00
C509,"Waheeda Rehman",2014-09-20,"Twenty Sept 14",Female,Niraj,B.A,Job,Meena,B.A,HW,Indore,9000000149,8009,F149,888800008109,Gen,GEN,Muslim,SBI,80009,SBIN01,img.jpg,22000.00,0.00,22000.00,Online,5th,B,22000.00
C510,"Xavier Gomes",2014-10-25,"Twenty Five Oct 14",Male,Gomes,B.A,Job,Maria,B.A,HW,Indore,9000000150,8010,F150,888800008110,Gen,GEN,Christian,SBI,80010,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,B,22000.00
C511,"Yami Gautam",2014-11-30,"Thirty Nov 14",Female,Mukesh,B.A,Biz,Maher,B.A,HW,Indore,9000000151,8011,F151,888800008111,Gen,GEN,Hindu,SBI,80011,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,C,22000.00
C512,"Zeenat Aman",2014-12-05,"Five Dec 14",Female,Vikas,B.A,Job,Anu,B.A,HW,Indore,9000000152,8012,F152,888800008112,Gen,GEN,Muslim,SBI,80012,SBIN01,img.jpg,22000.00,0.00,22000.00,Online,5th,C,22000.00
C513,"Ayushmann Khurrana",2014-01-22,"Twenty Two Jan 14",Male,"P. Khurrana",B.A,Biz,Poonam,B.A,HW,Indore,9000000153,8013,F153,888800008113,Gen,GEN,Hindu,SBI,80013,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,C,22000.00
C514,"Bhumi Pednekar",2014-02-18,"Eighteen Feb 14",Female,Satish,B.A,Job,Sumitra,B.A,HW,Indore,9000000154,8014,F154,888800008114,Gen,GEN,Hindu,SBI,80014,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,C,22000.00
C515,"Chiranjeevi Konidela",2014-03-12,"Twelve Mar 14",Male,Venkat,B.A,Biz,Anjana,B.A,HW,Indore,9000000155,8015,F155,888800008115,OBC,OBC,Hindu,SBI,80015,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,C,22000.00
C516,"Deepika Padukone",2014-04-08,"Eight Apr 14",Female,Prakash,Graduate,Sports,Ujjala,Graduate,HW,Indore,9000000156,8016,F156,888800008116,Gen,GEN,Hindu,SBI,80016,SBIN01,img.jpg,22000.00,0.00,22000.00,Online,5th,D,22000.00
C517,"Esha Deol",2014-05-22,"Twenty Two May 14",Female,Dharmendra,B.A,Biz,Hema,B.A,HW,Indore,9000000157,8017,F157,888800008117,Gen,GEN,Hindu,SBI,80017,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,D,22000.00
C518,"Farhan Akhtar",2014-06-14,"Fourteen June 14",Male,Javed,Graduate,Artist,Honey,Graduate,HW,Indore,9000000158,8018,F158,888800008118,Gen,GEN,Muslim,SBI,80018,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,D,22000.00
C519,"Genelia Dsouza",2014-07-28,"Twenty Eight July 14",Female,Neil,B.A,Job,Jeanette,B.A,HW,Indore,9000000159,8019,F159,888800008119,Gen,GEN,Christian,SBI,80019,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,D,22000.00
C520,"Hrithik Roshan",2014-08-01,"One Aug 14",Male,Rakesh,Graduate,Director,Pinky,B.A,HW,Indore,9000000160,8020,F160,888800008120,Gen,GEN,Hindu,SBI,80020,SBIN01,img.jpg,22000.00,0.00,22000.00,Online,5th,D,22000.00
C601,"Ishan Kishan",2013-01-10,"Ten Jan 13",Male,Pranav,Graduate,Job,Suchitra,B.A,HW,Indore,9000000161,9001,F161,999900009101,Gen,GEN,Hindu,SBI,90001,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,A,23000.00
C602,"Janhvi Kapoor",2013-02-15,"Fifteen Feb 13",Female,Boney,MBA,Biz,Sridevi,B.A,HW,Indore,9000000162,9002,F162,999900009102,Gen,GEN,Hindu,HDFC,90002,HDFC01,img.jpg,23000.00,0.00,23000.00,Online,6th,A,23000.00
C603,"Kartik Aaryan",2013-03-20,"Twenty Mar 13",Male,Manish,B.A,Job,Mala,B.A,HW,Indore,9000000163,9003,F163,999900009103,Gen,GEN,Hindu,BOI,90003,BKID01,img.jpg,23000.00,0.00,23000.00,Cash,6th,A,23000.00
C604,"Lara Dutta",2013-04-25,"Twenty Five Apr 13",Female,"L.K. Dutta",B.A,"Air Force",Jennifer,B.A,HW,Indore,9000000164,9004,F164,999900009104,Gen,GEN,Hindu,PNB,90004,PUNB01,img.jpg,23000.00,0.00,23000.00,Online,6th,A,23000.00
C605,"Mrunal Thakur",2013-05-30,"Thirty May 13",Female,Uday,B.A,Job,Usha,B.A,HW,Indore,9000000165,9005,F165,999900009105,Gen,GEN,Hindu,SBI,90005,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,A,23000.00
C606,"Nawazuddin Siddiqui",2013-06-05,"Five June 13",Male,Budharuddin,Graduate,Artist,Honey,Graduate,HW,Indore,9000000166,9006,F166,999900009106,Gen,GEN,Muslim,SBI,90006,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,B,23000.00
C607,"Parineeti Chopra",2013-07-10,"Ten July 13",Female,Pawan,B.A,Biz,Reena,B.A,HW,Indore,9000000167,9007,F167,999900009107,Gen,GEN,Hindu,SBI,90007,SBIN01,img.jpg,23000.00,0.00,23000.00,Online,6th,B,23000.00
C608,"Ranbir Kapoor",2013-08-15,"Fifteen Aug 13",Male,Rishi,B.A,Artist,Neetu,B.A,HW,Indore,9000000168,9008,F168,999900009108,Gen,GEN,Hindu,BOB,90008,BARB01,img.jpg,23000.00,0.00,23000.00,Cash,6th,B,23000.00
C609,"Sara Ali Khan",2013-09-20,"Twenty Sept 13",Female,Saif,B.A,Artist,Amrita,B.A,HW,Indore,9000000169,9009,F169,999900009109,Gen,GEN,Muslim,SBI,90009,SBIN01,img.jpg,23000.00,0.00,23000.00,Online,6th,B,23000.00
C610,"Tiger Shroff",2013-10-25,"Twenty Five Oct 13",Male,Jackie,B.A,Biz,Ayesha,B.A,HW,Indore,9000000170,9010,F170,999900009110,Gen,GEN,Hindu,SBI,90010,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,B,23000.00
C611,"Urfi Javed",2013-11-30,"Thirty Nov 13",Female,Irfan,B.A,Biz,Zakiya,B.A,HW,Indore,9000000171,9011,F171,999900009111,Gen,GEN,Muslim,SBI,90011,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,C,23000.00
C612,"Varun Sharma",2013-12-05,"Five Dec 13",Male,Vikas,B.A,Job,Anu,B.A,HW,Indore,9000000172,9012,F172,999900009112,Gen,GEN,Hindu,SBI,90012,SBIN01,img.jpg,23000.00,0.00,23000.00,Online,6th,C,23000.00
C613,"Wajid Khan",2013-01-22,"Twenty Two Jan 13",Male,Sharafat,B.A,Music,Razia,B.A,HW,Indore,9000000173,9013,F173,999900009113,Gen,GEN,Muslim,SBI,90013,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,C,23000.00
C614,"Xina Khan",2013-02-18,"Eighteen Feb 13",Female,Karan,B.A,Job,Maya,B.A,HW,Indore,9000000174,9014,F174,999900009114,Gen,GEN,Muslim,SBI,90014,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,C,23000.00
C615,"Yashaswi Jaiswal",2013-03-12,"Twelve Mar 13",Male,Bhupesh,B.A,Farmer,Kanchan,B.A,HW,Indore,9000000175,9015,F175,999900009115,OBC,OBC,Hindu,SBI,90015,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,C,23000.00
C616,"Zoya Akhtar",2013-04-08,"Eight Apr 13",Female,Javed,Graduate,Director,Honey,Graduate,HW,Indore,9000000176,9016,F175,999900009115,OBC,OBC,Hindu,SBI,90015,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,C,23000.00
C618,"Bipasha Basu",2013-06-14,"Fourteen June 13",Female,Hirak,Graduate,Biz,Mamta,Graduate,HW,Indore,9000000178,9018,F178,999900009118,Gen,GEN,Hindu,SBI,90018,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,D,23000.00
C619,"Chitrangada Singh",2013-07-28,"Twenty Eight July 13",Female,Niraj,B.A,Army,Meena,B.A,HW,Indore,9000000179,9019,F179,999900009119,Gen,GEN,Hindu,SBI,90019,SBIN01,img.jpg,23000.00,0.00,23000.00,Cash,6th,D,23000.00
C620,"Dhanush K",2013-08-01,"One Aug 13",Male,Kasturi,Graduate,Director,Vijay,B.A,HW,Indore,9000000180,9020,F180,999900009120,OBC,OBC,Hindu,SBI,90020,SBIN01,img.jpg,23000.00,0.00,23000.00,Online,6th,D,23000.00
C701,"Esha Gupta",2012-01-10,"Ten Jan 12",Female,Dilip,Graduate,Biz,Suman,B.A,HW,Indore,9000000181,10001,F181,770000001101,Gen,GEN,Hindu,SBI,70001,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,A,24000.00
C702,"Farhan Faasil",2012-02-15,"Fifteen Feb 12",Male,Fazil,MBA,Job,Rozina,B.Com,HW,Indore,9000000182,10002,F182,770000001102,Gen,GEN,Muslim,HDFC,70002,HDFC01,img.jpg,24000.00,0.00,24000.00,Online,7th,A,24000.00
C703,"Gautam Gambhir",2012-03-20,"Twenty Mar 12",Male,Deepak,B.A,Sports,Seema,B.A,HW,Indore,9000000183,10003,F183,770000001103,Gen,GEN,Hindu,BOI,70003,BKID01,img.jpg,24000.00,0.00,24000.00,Cash,7th,A,24000.00
C704,"Huma Qureshi",2012-04-25,"Twenty Five Apr 12",Female,Saleem,B.A,Biz,Amina,B.A,HW,Indore,9000000184,10004,F184,770000001104,Gen,GEN,Muslim,PNB,70004,PUNB01,img.jpg,24000.00,0.00,24000.00,Online,7th,A,24000.00
C705,"Ishan Pandita",2012-05-30,"Thirty May 12",Male,Sanjay,B.A,Job,Neelam,B.A,HW,Indore,9000000185,10005,F185,770000001105,Gen,GEN,Hindu,SBI,70005,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,A,24000.00
C706,"Juhi Chawla",2012-06-05,"Five June 12",Female,Desraj,Graduate,Biz,Mona,Graduate,HW,Indore,9000000186,10006,F186,770000001106,Gen,GEN,Hindu,SBI,70006,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,B,24000.00
C707,"Kiran Bedi",2012-07-10,"Ten July 12",Female,Prakash,B.A,Police,Prem,B.A,HW,Indore,9000000187,10007,F187,770000001107,Gen,GEN,Hindu,SBI,70007,SBIN01,img.jpg,24000.00,0.00,24000.00,Online,7th,B,24000.00
C708,"Lokesh Kanagaraj",2012-08-15,"Fifteen Aug 12",Male,Karan,B.A,Artist,Lata,B.A,HW,Indore,9000000188,10008,F188,770000001108,OBC,OBC,Hindu,BOB,70008,BARB01,img.jpg,24000.00,0.00,24000.00,Cash,7th,B,24000.00
C709,"Mithali Raj",2012-09-20,"Twenty Sept 12",Female,Dorai,B.A,Job,Leela,B.A,HW,Indore,9000000189,10009,F189,770000001109,Gen,GEN,Hindu,SBI,70009,SBIN01,img.jpg,24000.00,0.00,24000.00,Online,7th,B,24000.00
C710,"Nitin Singh",2012-10-25,"Twenty Five Oct 12",Male,Brijesh,B.A,Job,Maya,B.A,HW,Indore,9000000190,10010,F190,770000001110,SC,SC,Hindu,SBI,70010,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,B,24000.00
C711,"Om Raut",2012-11-30,"Thirty Nov 12",Male,Bharat,B.A,Biz,Asha,B.A,HW,Indore,9000000191,10011,F191,770000001111,Gen,GEN,Hindu,SBI,70011,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,C,24000.00
C712,"Pooja Hegde",2012-12-05,"Five Dec 12",Female,Manjunath,B.A,Biz,Latha,B.A,HW,Indore,9000000192,10012,F192,770000001112,Gen,GEN,Hindu,SBI,70012,SBIN01,img.jpg,24000.00,0.00,24000.00,Online,7th,C,24000.00
C713,"Quinton De Kock",2012-01-22,"Twenty Two Jan 12",Male,Ernest,B.A,Job,Sana,B.A,HW,Indore,9000000193,10013,F193,770000001113,Gen,GEN,Christian,SBI,70013,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,C,24000.00
C714,"Rashmika Mandanna",2012-02-18,"Eighteen Feb 12",Female,Madan,B.A,Biz,Suman,B.A,HW,Indore,9000000194,10014,F194,770000001114,Gen,GEN,Hindu,SBI,70014,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,C,24000.00
C715,"Suresh Raina",2012-03-12,"Twelve Mar 12",Male,Trilokchand,B.A,Biz,Parvesh,B.A,HW,Indore,9000000195,10015,F195,770000001115,OBC,OBC,Hindu,SBI,70015,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,C,24000.00
C716,"Tamannaah Bhatia",2012-04-08,"Eight Apr 12",Female,Santosh,Graduate,Biz,Rajni,Graduate,HW,Indore,9000000196,10016,F196,770000001116,Gen,GEN,Hindu,SBI,70016,SBIN01,img.jpg,24000.00,0.00,24000.00,Online,7th,D,24000.00
C717,"Uday Chopra",2012-05-22,"Twenty Two May 12",Male,Yash,B.A,Artist,Pamela,B.A,HW,Indore,9000000197,10017,F197,770000001117,Gen,GEN,Hindu,SBI,70017,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,D,24000.00
C718,"Vaani Kapoor",2012-06-14,"Fourteen June 12",Female,Shiv,Graduate,Biz,Dimpy,Graduate,HW,Indore,9000000198,10018,F198,770000001118,Gen,GEN,Hindu,SBI,70018,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,D,24000.00
C719,"Washington Sundar",2012-07-28,"Twenty Eight July 12",Male,Sundar,B.A,Sports,Meena,B.A,HW,Indore,9000000199,10019,F199,770000001119,SC,SC,Hindu,SBI,70019,SBIN01,img.jpg,24000.00,0.00,24000.00,Cash,7th,D,24000.00
C720,"Xavier J",2012-08-01,"One Aug 12",Male,Joseph,Graduate,Job,Maria,B.A,HW,Indore,9000000200,10020,F200,770000001120,Gen,GEN,Christian,SBI,70020,SBIN01,img.jpg,24000.00,0.00,24000.00,Online,7th,D,24000.00
C801,"Yashaswi J",2011-01-10,"Ten Jan 11",Male,Bhupesh,Graduate,Biz,Kanchan,B.A,HW,Indore,9000000201,11001,F201,880000001101,OBC,OBC,Hindu,SBI,80001,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,A,25000.00
C802,"Ziva Dhoni",2011-02-15,"Fifteen Feb 11",Female,Mahendra,MBA,Sports,Sakshi,B.Com,HW,Indore,9000000202,11002,F202,880000001102,Gen,GEN,Hindu,HDFC,80002,HDFC01,img.jpg,25000.00,0.00,25000.00,,8th,A,25000.00
C803,"Abir Chatterjee",2011-03-20,"Twenty Mar 11",Male,Subrata,B.A,Job,Rina,B.A,HW,Indore,9000000203,11003,F203,880000001103,Gen,GEN,Hindu,BOI,80003,BKID01,img.jpg,25000.00,0.00,25000.00,,8th,A,25000.00
C804,"Bhavini Purohit",2011-04-25,"Twenty Five Apr 11",Female,Karan,B.A,Biz,Nisha,B.A,HW,Indore,9000000204,11004,F204,880000001104,Gen,GEN,Hindu,PNB,80004,PUNB01,img.jpg,25000.00,0.00,25000.00,,8th,A,25000.00
C805,"Chirag Paswan",2011-05-30,"Thirty May 11",Male,"Ram Vilas",M.A,Leader,Sushma,B.A,HW,Indore,9000000205,11005,F205,880000001105,SC,SC,Hindu,SBI,80005,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,A,25000.00
C806,"Drishti Dhami",2011-06-05,"Five June 11",Female,Vikas,Graduate,Job,Anu,Graduate,HW,Indore,9000000206,11006,F206,880000001106,Gen,GEN,Hindu,SBI,80006,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,B,25000.00
C807,"Eklavya Bhatt",2011-07-10,"Ten July 11",Male,Nitin,B.A,Biz,Gauri,B.A,HW,Indore,9000000207,11007,F207,880000001107,Gen,GEN,Hindu,SBI,80007,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,B,25000.00
C808,"Falak Naaz",2011-08-15,"Fifteen Aug 11",Female,Manoj,B.A,Job,Kiran,B.A,HW,Indore,9000000208,11008,F208,880000001108,Gen,GEN,Muslim,BOB,80008,BARB01,img.jpg,25000.00,0.00,25000.00,,8th,B,25000.00
C809,"Gautam Rode",2011-09-20,"Twenty Sept 11",Male,Sumit,B.A,Biz,Maya,B.A,HW,Indore,9000000209,11009,F209,880000001109,Gen,GEN,Hindu,SBI,80009,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,B,25000.00
C810,"Hina Khan",2011-10-25,"Twenty Five Oct 11",Female,Aslam,B.A,Job,Rina,B.A,HW,Indore,9000000210,11010,F210,880000001110,Gen,GEN,Muslim,SBI,80010,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,B,25000.00
C811,"Inder Kumar",2011-11-30,"Thirty Nov 11",Male,Deepak,B.A,Biz,Lata,B.A,HW,Indore,9000000211,11011,F211,880000001111,OBC,OBC,Hindu,SBI,80011,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,C,25000.00
C812,"Jhanvi Kapoor",2011-12-05,"Five Dec 11",Female,Boney,B.A,Biz,Sridevi,B.A,HW,Indore,9000000212,11012,F212,880000001112,Gen,GEN,Hindu,SBI,80012,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,C,25000.00
C813,"Kunal Khemu",2011-01-22,"Twenty Two Jan 11",Male,Ravi,B.A,Job,Priya,B.A,HW,Indore,9000000213,11013,F213,880000001113,Gen,GEN,Hindu,SBI,80013,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,C,25000.00
C814,"Lata M",2011-02-18,"Eighteen Feb 11",Female,Dinanath,PhD,Singer,Shevanti,B.A,HW,Indore,9000000214,11014,F214,880000001114,Gen,GEN,Hindu,SBI,80014,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,C,25000.00
C815,"Manoj Bajpayee",2011-03-12,"Twelve Mar 11",Male,Radhakant,B.A,Artist,Sushila,B.A,HW,Indore,9000000215,11015,F215,880000001115,Gen,GEN,Hindu,SBI,80015,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,C,25000.00
C816,"Nora Fatehi",2011-04-08,"Eight Apr 11",Female,Fateh,Graduate,Artist,Meena,Graduate,HW,Indore,9000000216,11016,F216,880000001116,Gen,GEN,Muslim,SBI,80016,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,D,25000.00
C817,"Om Vaidya",2011-05-22,"Twenty Two May 11",Male,Vaidya,B.A,Biz,Maya,B.A,HW,Indore,9000000217,11017,F217,880000001117,Gen,GEN,Hindu,SBI,80017,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,D,25000.00
C818,"Pankaj Tripathi",2011-06-14,"Fourteen June 11",Male,Pandit,Graduate,Artist,Mridula,Graduate,HW,Indore,9000000218,11018,F218,880000001118,Gen,GEN,Hindu,SBI,80018,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,D,25000.00
C819,"Queen E",2011-07-28,"Twenty Eight July 11",Female,George,Graduate,Biz,Mary,Graduate,HW,Indore,9000000219,11019,F219,880000001119,Gen,GEN,Christian,SBI,80019,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,D,25000.00
C820,"Ranveer Singh",2011-08-01,"One Aug 11",Male,Jagjit,Graduate,Artist,Anju,Graduate,HW,Indore,9000000220,11020,F220,880000001120,Gen,GEN,Hindu,SBI,80020,SBIN01,img.jpg,25000.00,0.00,25000.00,,8th,D,25000.00
LKG01,"Aaryan Khan",2020-01-15,"Fifteen Jan 20",Male,Shahrukh,Graduate,Business,Gauri,Graduate,HW,Indore,9000000021,2001,F21,222200002101,Gen,GEN,Muslim,HDFC,20001,HDFC01,img.jpg,16000.00,0.00,16000.00,,LKG,A,16000.00
LKG02,"Anvi Sharma",2020-02-20,"Twenty Feb 20",Female,Rahul,MBA,Job,Priya,B.Com,Teacher,Indore,9000000022,2002,F22,222200002102,Gen,GEN,Hindu,SBI,20002,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,A,16000.00
LKG03,"Arnav Singh",2020-03-25,"Twenty Five Mar 20",Male,Vikram,B.Sc,Farmer,Sita,12th,HW,Indore,9000000023,2003,F23,222200002103,OBC,OBC,Hindu,BOI,20003,BKID01,img.jpg,16000.00,0.00,16000.00,,LKG,A,16000.00
LKG04,"Bhavya Jain",2020-04-10,"Ten April 20",Female,Sumit,M.Com,Biz,Rina,B.A,HW,Indore,9000000024,2004,F24,222200002104,Gen,GEN,Jain,Axis,20004,UTIB01,img.jpg,16000.00,0.00,16000.00,,LKG,A,16000.00
LKG05,"Chaitanya Pal",2020-05-05,"Five May 20",Male,Manoj,10th,Driver,Kiran,8th,HW,Indore,9000000025,2005,F25,222200002105,SC,SC,Hindu,PNB,20005,PUNB01,img.jpg,16000.00,0.00,16000.00,,LKG,A,16000.00
LKG06,"Daksh Gupta",2020-06-12,"Twelve June 20",Male,Amit,B.A,Shop,Ritu,B.A,HW,Indore,9000000026,2006,F26,222200002106,Gen,GEN,Hindu,SBI,20006,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,B,16000.00
LKG07,"Esha Mehra",2020-07-18,"Eighteen July 20",Female,Aman,M.A,Job,Sana,B.A,HW,Indore,9000000027,2007,F27,222200002107,Gen,GEN,Hindu,SBI,20007,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,B,16000.00
LKG08,"Falguni Das",2020-08-22,"Twenty Two Aug 20",Female,Joy,B.Sc,Biz,Priya,B.A,HW,Indore,9000000028,2008,F28,222200002108,SC,SC,Hindu,BOB,20008,BARB01,img.jpg,16000.00,0.00,16000.00,,LKG,B,16000.00
LKG09,"Gaurav Joshi",2020-09-30,"Thirty Sept 20",Male,Deepak,PhD,Prof,Meena,M.A,Teacher,Indore,9000000029,2009,F29,222200002109,Gen,GEN,Hindu,SBI,20009,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,B,16000.00
LKG10,"Harshita Sen",2020-10-05,"Five Oct 20",Female,Raj,B.A,Biz,Riya,B.A,HW,Indore,9000000030,2010,F30,222200002110,Gen,GEN,Hindu,HDFC,20010,HDFC01,img.jpg,16000.00,0.00,16000.00,,LKG,B,16000.00
LKG11,"Ishaan Goel",2020-11-11,"Eleven Nov 20",Male,Vikas,M.Tech,Job,Anu,B.Tech,Job,Indore,9000000031,2011,F31,222200002111,Gen,GEN,Hindu,SBI,20011,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,C,16000.00
LKG12,"Jiya Bansal",2020-12-12,"Twelve Dec 20",Female,Rahul,B.Com,Biz,Kavita,B.A,HW,Indore,9000000032,2012,F32,222200002112,Gen,GEN,Hindu,SBI,20012,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,C,16000.00
LKG13,"Kunal Pathak",2020-01-20,"Twenty Jan 20",Male,Nitin,B.A,Job,Gauri,B.A,HW,Indore,9000000033,2013,F33,222200002113,Gen,GEN,Hindu,SBI,20013,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,C,16000.00
LKG14,"Lekha Mishra",2020-02-15,"Fifteen Feb 20",Female,Gopal,M.A,Pujari,Radha,B.A,HW,Indore,9000000034,2014,F34,222200002114,Gen,GEN,Hindu,SBI,20014,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,C,16000.00
LKG15,"Manan Jain",2020-03-10,"Ten Mar 20",Male,Harish,B.A,Biz,Maya,B.A,HW,Indore,9000000035,2015,F35,222200002115,Gen,GEN,Jain,SBI,20015,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,C,16000.00
LKG16,"Navya Saxena",2020-04-05,"Five April 20",Female,Sumit,B.A,Biz,Rina,B.A,HW,Indore,9000000036,2016,F36,222200002116,Gen,GEN,Hindu,SBI,20016,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,D,16000.00
LKG17,"Ojas Yadav",2020-05-20,"Twenty May 20",Male,Karan,B.A,Farmer,Lata,8th,HW,Indore,9000000037,2017,F37,222200002117,OBC,OBC,Hindu,BOI,20017,BKID01,img.jpg,16000.00,0.00,16000.00,,LKG,D,16000.00
LKG18,"Prisha Ali",2020-06-25,"Twenty Five June 20",Female,Saif,B.A,Biz,Amrita,B.A,HW,Indore,9000000038,2018,F38,222200002118,Gen,GEN,Muslim,SBI,20018,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,D,16000.00
LKG19,"Qasim Khan",2020-07-30,"Thirty July 20",Male,Irphan,B.A,Driver,Saba,B.A,HW,Indore,9000000039,2019,F39,222200002119,Gen,GEN,Muslim,SBI,20019,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,D,16000.00
LKG20,"Riya Goel",2020-08-05,"Five Aug 20",Female,Vikas,B.A,Job,Anu,B.A,HW,Indore,9000000040,2020,F40,222200002120,Gen,GEN,Hindu,SBI,20020,SBIN01,img.jpg,16000.00,0.00,16000.00,,LKG,D,16000.00
NUR01,"Aarav Sharma",2021-05-10,"Ten May 21",Male,Rajesh,B.A,Business,Suman,B.A,HW,Indore,9000000001,1001,F01,111100001101,Gen,GEN,Hindu,SBI,10001,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,A,15000.00
NUR02,"Ishani Verma",2021-06-12,"Twelve June 21",Female,Sunil,B.A,Business,Pooja,B.A,HW,Indore,9000000002,1002,F02,111100001102,Gen,GEN,Hindu,SBI,10002,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,A,15000.00
NUR03,"Vihaan Gupta",2021-07-15,"Fifteen July 21",Male,Amit,B.A,Shop,Ritu,B.A,HW,Indore,9000000003,1003,F03,111100001103,OBC,OBC,Hindu,BOI,10003,BKID01,img.jpg,15000.00,0.00,15000.00,,Nursery,A,15000.00
NUR04,"Anaya Singh",2021-08-20,"Twenty Aug 21",Female,Vikram,B.A,Farmer,Sita,B.A,HW,Indore,9000000004,1004,F04,111100001104,SC,SC,Hindu,PNB,10004,PUNB01,img.jpg,15000.00,0.00,15000.00,,Nursery,A,15000.00
NUR05,"Kabir Das",2021-01-10,"Ten Jan 21",Male,Prakash,B.A,Job,Laxmi,B.A,HW,Indore,9000000005,1005,F05,111100001105,Gen,GEN,Hindu,SBI,10005,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,A,15000.00
NUR06,"Myra Kapoor",2021-02-14,"Fourteen Feb 21",Female,Sanjay,B.A,Biz,Neha,B.A,HW,Indore,9000000006,1006,F06,111100001106,Gen,GEN,Sikh,ICICI,10006,ICIC01,img.jpg,15000.00,0.00,15000.00,,Nursery,B,15000.00
NUR07,"Arjun Reddy",2021-03-20,"Twenty March 21",Male,Prakash,B.A,Job,Laxmi,B.A,HW,Indore,9000000007,1007,F07,111100001107,OBC,OBC,Hindu,Axis,10007,UTIB01,img.jpg,15000.00,0.00,15000.00,,Nursery,B,15000.00
